"student_id","risk_tier","total_renew","total_new"
1,"2",1036.94390463541,1174.93622931593
2,"2",930.727343199676,1045.9874887401
3,"2",319.987634786647,379.484003436804
4,"3",728.568421043959,832.345861578259
5,"1",1025.64106139965,1167.56915719838
6,"2",930.727343199676,1045.9874887401
7,"2",751.271076735789,856.417982835315
8,"3",1321.58256833737,1495.74443021409
9,"2",1328.20455837798,1502.16687481408
10,"1",1041.54950857839,1167.70624271987
11,"1",1183.38585496062,1347.14562085187
12,"1",1762.01602267836,2006.93784435294
13,"1",874.166043754368,989.649372562306
14,"1",874.166043754368,989.649372562306
15,"1",648.39140867499,745.145018369699
16,"1",254.9682017906,302.378711798354
17,"3",1040.92929185963,1179.05260483798
18,"1",1150.16791783053,1309.24816758297
19,"3",1321.58256833737,1495.74443021409
20,"3",1040.92929185963,1179.05260483798
21,"1",907.608459375991,1034.03958640761
22,"3",1043.95632781107,1189.68159159615
23,"3",1177.05748889531,1332.26164545098
24,"3",907.805450126057,1036.63622656548
25,"1",695.458664412976,800.088879018865
26,"3",1040.92929185963,1179.05260483798
27,"1",378.990303888578,449.006759834351
28,"2",1496.67805825095,1693.45364880448
29,"3",1324.1558277021,1497.5166764421
30,"1",464.2286514847,529.254528690934
31,"3",530.273228206868,592.574153740391
32,"3",1177.05748889531,1332.26164545098
33,"3",912.369317463283,1025.94663365725
34,"3",1947.16276076355,2206.0733722263
35,"2",1496.67805825095,1693.45364880448
36,"3",502.226832071564,568.774504431415
37,"1",1420.53981246696,1616.71300255422
38,"3",1043.95632781107,1189.68159159615
39,"2",1046.36371820214,1166.84438374042
40,"3",894.585857622999,1007.97365070883
41,"3",1004.246167898,1120.6313945187
42,"2",597.526908741919,685.938949802012
43,"1",1420.53981246696,1616.71300255422
44,"1",1025.64106139965,1167.56915719838
45,"1",788.373970007504,891.09121010227
46,"2",1614.39706334124,1819.89992558135
47,"3",1856.90327133733,2100.30559058501
48,"1",907.608459375991,1034.03958640761
49,"1",599.962363906813,688.684864183944
50,"3",1253.3355461197,1432.68735070598
51,"1",1200.03698987513,1357.71442102537
52,"1",1616.43127035979,1838.66976062863
53,"1",1183.38585496062,1347.14562085187
54,"1",649.118061691745,738.868583008001
55,"2",1036.94390463541,1174.93622931593
56,"1",562.614297259778,647.733434022023
57,"1",599.962363906813,688.684864183944
58,"3",1498.00381742658,1693.14752384309
59,"3",894.585857622999,1007.97365070883
60,"1",788.373970007504,891.09121010227
61,"1",907.608459375991,1034.03958640761
62,"1",1151.52337940599,1309.73097844551
63,"3",685.045894024693,781.357054535711
64,"3",1040.92929185963,1179.05260483798
65,"1",1762.01602267836,2006.93784435294
66,"2",250.368666899542,297.662769234709
67,"2",1036.94390463541,1174.93622931593
68,"1",801.49013920459,918.440395023493
69,"3",1177.05748889531,1332.26164545098
70,"2",665.123630895144,740.170837923123
71,"1",1038.5608314848,1173.51715090244
72,"2",1423.82057660399,1588.46750962583
73,"1",1339.80397480579,1524.34912152779
74,"3",556.485919628349,628.251083354977
75,"1",496.916391029703,567.22523373362
76,"1",907.608459375991,1034.03958640761
77,"2",892.791799171597,1006.22220065706
78,"2",1629.48418722724,1844.44992476073
79,"1",874.166043754368,989.649372562306
80,"3",630.786806467908,721.880475612149
81,"1",907.608459375991,1034.03958640761
82,"1",844.284342160452,946.485159230138
83,"2",1110.32412672334,1270.01670877636
84,"2",1110.32412672334,1270.01670877636
85,"2",1328.20455837798,1502.16687481408
86,"3",1163.07605669348,1326.91956906469
87,"1",443.379807891291,504.78505771668
88,"3",538.702459788064,610.278100406565
89,"2",902.392120149769,1025.92057780591
90,"1",1183.38585496062,1347.14562085187
91,"1",1122.36987685992,1270.12755744744
92,"3",1040.92929185963,1179.05260483798
93,"3",538.702459788064,610.278100406565
94,"3",630.786806467908,721.880475612149
95,"3",1321.58256833737,1495.74443021409
96,"1",902.449986277603,1019.87729172157
97,"3",630.786806467908,721.880475612149
98,"1",788.373970007504,891.09121010227
99,"1",651.915745492003,748.035788941576
100,"3",1191.62539948001,1339.68217142435
101,"3",1166.74072469273,1311.33858413372
102,"2",1502.38384068896,1698.19394983712
103,"3",744.733993681391,849.145177013069
104,"2",1230.61176593854,1382.4862594253
105,"3",728.568421043959,832.345861578259
106,"1",874.166043754368,989.649372562306
107,"2",962.644730599125,1096.16861919989
108,"1",344.994162116213,386.30615238559
109,"3",1631.41406899923,1846.15877227519
110,"3",502.226832071564,568.774504431415
111,"3",894.585857622999,1007.97365070883
112,"2",1036.94390463541,1174.93622931593
113,"3",1321.58256833737,1495.74443021409
114,"1",562.614297259778,647.733434022023
115,"3",1040.92929185963,1179.05260483798
116,"3",894.585857622999,1007.97365070883
117,"3",556.485919628349,628.251083354977
118,"2",1012.12563383285,1139.81177176482
119,"1",810.110575388008,920.479049200235
120,"3",912.369317463283,1025.94663365725
121,"3",1040.92929185963,1179.05260483798
122,"2",1502.38384068896,1698.19394983712
123,"1",907.608459375991,1034.03958640761
124,"2",892.791799171597,1006.22220065706
125,"3",1040.92929185963,1179.05260483798
126,"3",744.733993681391,849.145177013069
127,"1",562.614297259778,647.733434022023
128,"3",996.91026802639,1138.89857850232
129,"1",907.608459375991,1034.03958640761
130,"3",877.191555685521,1001.1488315384
131,"3",611.804237588457,690.835100327136
132,"1",886.822592298688,1019.08478612172
133,"2",949.691763771778,1087.95518557119
134,"2",892.791799171597,1006.22220065706
135,"1",907.608459375991,1034.03958640761
136,"3",744.733993681391,849.145177013069
137,"1",771.874746953878,874.609250914603
138,"3",894.585857622999,1007.97365070883
139,"3",1040.92929185963,1179.05260483798
140,"3",1040.92929185963,1179.05260483798
141,"2",1176.27022612904,1324.55312862305
142,"3",274.903408632973,324.18492530988
143,"1",562.614297259778,647.733434022023
144,"1",788.373970007504,891.09121010227
145,"2",1191.64836449349,1338.52073883616
146,"1",907.608459375991,1034.03958640761
147,"3",1591.59367907402,1790.15236914668
148,"1",1616.43127035979,1838.66976062863
149,"1",801.49013920459,918.440395023493
150,"1",599.962363906813,688.684864183944
151,"3",731.153809544872,826.945858733711
152,"1",599.962363906813,688.684864183944
153,"3",1040.92929185963,1179.05260483798
154,"1",907.608459375991,1034.03958640761
155,"1",1420.53981246696,1616.71300255422
156,"2",1056.42908595453,1203.52132460437
157,"1",528.724670369952,600.343923464764
158,"3",502.226832071564,568.774504431415
159,"3",1040.92929185963,1179.05260483798
160,"1",771.874746953878,874.609250914603
161,"1",907.608459375991,1034.03958640761
162,"2",1540.34904291872,1742.91159718999
163,"1",135.733712422113,159.430335493011
164,"2",1036.94390463541,1174.93622931593
165,"2",692.494721199968,793.37544699454
166,"2",1319.96763123281,1494.30254549596
167,"1",912.707524056854,1046.63497626686
168,"3",1423.06642115915,1588.30233765487
169,"3",1044.12773280237,1173.95156876505
170,"2",1036.94390463541,1174.93622931593
171,"1",907.608459375991,1034.03958640761
172,"1",378.990303888578,449.006759834351
173,"3",1459.70012413249,1641.65942932226
174,"3",556.485919628349,628.251083354977
175,"3",894.585857622999,1007.97365070883
176,"2",1319.96763123281,1494.30254549596
177,"1",1339.80397480579,1524.34912152779
178,"3",685.045894024693,781.357054535711
179,"2",1360.51827386544,1540.19500430793
180,"3",781.006512837432,893.182357022932
181,"1",788.373970007504,891.09121010227
182,"1",760.592829087634,871.922296916932
183,"1",907.608459375991,1034.03958640761
184,"1",844.284342160452,946.485159230138
185,"3",630.786806467908,721.880475612149
186,"1",648.39140867499,745.145018369699
187,"1",987.385668246651,1118.04711516677
188,"3",1044.12773280237,1173.95156876505
189,"1",1183.38585496062,1347.14562085187
190,"1",648.39140867499,745.145018369699
191,"1",599.962363906813,688.684864183944
192,"1",907.608459375991,1034.03958640761
193,"2",962.644730599125,1096.16861919989
194,"2",301.197497142964,358.116573987484
195,"2",902.224886255011,1006.39036556462
196,"1",700.208815908377,806.109616844192
197,"1",1494.77782565717,1692.6942346742
198,"1",788.373970007504,891.09121010227
199,"1",1025.64106139965,1167.56915719838
200,"1",907.608459375991,1034.03958640761
201,"1",1734.12636689866,1972.98707379401
202,"3",1359.97767579374,1539.28884710502
203,"3",912.369317463283,1025.94663365725
204,"1",1446.60193041737,1635.0640042543
205,"3",628.82386624887,712.342988371312
206,"3",1217.92355424826,1391.15705609176
207,"1",1278.42337812573,1433.31024984848
208,"1",1734.12636689866,1972.98707379401
209,"1",907.608459375991,1034.03958640761
210,"3",1655.41493997715,1865.01323304104
211,"1",464.2286514847,529.254528690934
212,"3",1540.24118792292,1742.43030376188
213,"1",907.608459375991,1034.03958640761
214,"3",1040.92929185963,1179.05260483798
215,"1",811.451932357055,932.728546352133
216,"2",751.271076735789,856.417982835315
217,"2",1184.23153869853,1357.36663178731
218,"3",1040.92929185963,1179.05260483798
219,"1",886.822592298688,1019.08478612172
220,"2",1615.12181452115,1820.71051736942
221,"1",999.521824053533,1146.14483148451
222,"1",695.458664412976,800.088879018865
223,"2",751.271076735789,856.417982835315
224,"1",811.451932357055,932.728546352133
225,"1",788.373970007504,891.09121010227
226,"3",1177.05748889531,1332.26164545098
227,"2",545.63355732922,617.946020089755
228,"1",1183.38585496062,1347.14562085187
229,"3",1040.92929185963,1179.05260483798
230,"1",1759.22167575587,2003.30514325369
231,"2",610.385876002414,692.269005591654
232,"1",599.962363906813,688.684864183944
233,"3",887.641411242314,1009.71690234483
234,"1",907.608459375991,1034.03958640761
235,"3",1203.24353313686,1352.6294047604
236,"1",1183.38585496062,1347.14562085187
237,"1",1420.53981246696,1616.71300255422
238,"1",1183.38585496062,1347.14562085187
239,"3",1540.24118792292,1742.43030376188
240,"3",1040.92929185963,1179.05260483798
241,"3",1393.67548702774,1568.23671740483
242,"3",1856.90327133733,2100.30559058501
243,"3",556.485919628349,628.251083354977
244,"1",1420.53981246696,1616.71300255422
245,"1",525.200333552938,597.453152892887
246,"3",1040.92929185963,1179.05260483798
247,"1",788.373970007504,891.09121010227
248,"1",599.962363906813,688.684864183944
249,"1",788.373970007504,891.09121010227
250,"1",977.728915266898,1105.59518027065
251,"1",700.208815908377,806.109616844192
252,"2",1230.61176593854,1382.4862594253
253,"2",1629.48418722724,1844.44992476073
254,"1",651.915745492003,748.035788941576
255,"2",751.271076735789,856.417982835315
256,"1",874.166043754368,989.649372562306
257,"1",907.608459375991,1034.03958640761
258,"1",1127.46757701575,1296.42320843373
259,"2",1230.61176593854,1382.4862594253
260,"2",1360.51827386544,1540.19500430793
261,"3",1040.92929185963,1179.05260483798
262,"3",1324.1558277021,1497.5166764421
263,"3",1221.961542161,1363.73737445191
264,"2",1176.27022612904,1324.55312862305
265,"2",1822.05942688402,2062.05850225528
266,"3",1040.92929185963,1179.05260483798
267,"3",296.244925830043,349.229393140345
268,"3",1177.05748889531,1332.26164545098
269,"3",1498.92307355971,1695.53529738467
270,"2",1172.99534209538,1328.09189769724
271,"3",685.045894024693,781.357054535711
272,"1",902.449986277603,1019.87729172157
273,"2",1036.94390463541,1174.93622931593
274,"2",1496.67805825095,1693.45364880448
275,"1",666.319769706853,760.086204592868
276,"2",583.5691013573,657.711308172792
277,"1",1007.06659174433,1137.68621164633
278,"2",715.513050391594,813.875011484233
279,"1",1150.16791783053,1309.24816758297
280,"1",1262.05233117022,1426.70482424872
281,"2",270.770455840373,321.701532132619
282,"3",1177.05748889531,1332.26164545098
283,"3",1947.16276076355,2206.0733722263
284,"1",695.458664412976,800.088879018865
285,"3",1324.1558277021,1497.5166764421
286,"2",1334.7333872061,1502.26130964132
287,"2",1172.99534209538,1328.09189769724
288,"2",751.271076735789,856.417982835315
289,"1",750.974968632316,841.957507085494
290,"1",771.874746953878,874.609250914603
291,"2",1036.94390463541,1174.93622931593
292,"3",703.374396133804,798.256254152261
293,"1",760.592829087634,871.922296916932
294,"3",912.115719009283,1042.27982369162
295,"1",788.373970007504,891.09121010227
296,"2",1560.72254816446,1756.19271206062
297,"1",1420.53981246696,1616.71300255422
298,"1",1183.38585496062,1347.14562085187
299,"1",151.89542206725,182.105060941092
300,"1",843.764951329183,965.537515798582
301,"2",729.122024046567,826.161529109958
302,"3",685.045894024693,781.357054535711
303,"2",962.644730599125,1096.16861919989
304,"2",250.368666899542,297.662769234709
305,"1",1183.38585496062,1347.14562085187
306,"1",1025.64106139965,1167.56915719838
